network,period,Positive_VADER,Count,Mean tone,Mean vader_tone,election_year
ABC News,After Election,0.6256983240223464,179,-3.0036825974097265,0.2432910614525141,2016
ABC News,Before Election,0.5904255319148937,188,-3.343653534318884,0.1659888297872341,2016
Fox News,After Election,0.6448484848484849,825,-2.6952453364035485,0.2922922424242415,2016
Fox News,Before Election,0.6678614097968937,837,-2.754359145499975,0.3085878136200714,2016
MSNBC,After Election,0.7393939393939394,165,-1.6440991316079985,0.1776739393939393,2016
MSNBC,Before Election,0.6274509803921569,255,-2.3706030122544948,0.0247482352941176,2016
ABC News,After Election,0.7022222222222222,225,-2.6820195585598605,0.3998493333333334,2020
ABC News,Before Election,0.6482213438735178,253,-3.1791133210639213,0.2872636363636364,2020
Fox News,After Election,0.7538910505836576,1028,-1.6205610584220158,0.4887267509727626,2020
Fox News,Before Election,0.7164339419978518,931,-2.05128687522774,0.41130171858217,2020
MSNBC,After Election,0.6194852941176471,544,-2.0953967508708904,0.0832367647058823,2020
MSNBC,Before Election,0.6201834862385321,545,-2.6075965303149307,0.0677447706422018,2020
ABC News,After Election,0.6420664206642066,271,-2.249838971297561,0.2748520295202952,2024
ABC News,Before Election,0.6226415094339622,212,-2.813243130649953,0.2319589622641509,2024
Fox News,After Election,0.680568720379147,1055,-1.6714790881132628,0.3414235071090043,2024
Fox News,Before Election,0.6457446808510638,940,-1.8967754133140635,0.2878310638297877,2024
MSNBC,After Election,0.6419939577039275,662,-2.3715827305581563,0.1773972809667673,2024
MSNBC,Before Election,0.5014044943820225,712,-3.0728806278317116,-0.0204733146067415,2024
