source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year,tone_category
abc,"AFFECT,120",1.5861031398826196e-06,437012.6778837611,0.0001353486836291884,6,,2016-10-11 13:00:00,2016,unknown
abc,"AFFECT,169",1.3495668012608862e-05,51360.716632355296,0.009519342045521961,7,,2016-07-22 15:45:00,2016,unknown
abc,"ARMEDCONFLICT,1334",1.4483303662576516e-05,47858.36137310108,0.00923010535696045,6,,2016-01-23 13:30:00,2016,unknown
abc,"ARMEDCONFLICT,1444",7.141941027276901e-05,9705.305293233854,0.39266441715151956,5,,2016-05-29 18:00:00,2016,unknown
abc,"ARMEDCONFLICT,1760",7.599714261265085e-05,9120.700551767333,0.29412769103941816,5,,2016-05-29 18:00:00,2016,unknown
abc,"ARMEDCONFLICT,306",2.8198764083737616e-05,24580.764550588483,0.0705435456638791,7,,2016-01-04 07:30:00,2016,unknown
abc,"ARMEDCONFLICT,456",0.000637096227980013,1087.9787858070488,0.1681261717239454,7,,2016-05-02 20:30:00,2016,unknown
abc,"ARMEDCONFLICT,459",5.057631699409929e-05,13704.975406588312,0.2159657368404161,9,,2016-05-31 15:45:00,2016,unknown
abc,"ARMEDCONFLICT,727",6.238351294060244e-05,11111.063610988296,0.058157822757111344,6,,2020-02-28 16:45:00,2020,unknown
abc,"ARREST,422",0.00010013212592074089,6922.325619138484,0.16373196646982802,5,,2016-04-14 13:00:00,2016,unknown
abc,"ARREST,660",3.972868774133394e-05,17447.01926912102,0.08541668036517902,5,,2016-03-10 20:15:00,2016,unknown
abc,"ARREST,936",6.289135734932e-05,11021.342355674882,0.20218480620278045,7,,2016-05-29 18:00:00,2016,unknown
abc,"ARREST,965",0.0001231138377936281,5630.13218483081,0.7627338440551905,5,,2016-06-10 21:15:00,2016,unknown
abc,"CRISISLEX_C03_WELLBEING_HEALTH,1794",0.00012946507129251851,5353.931941950745,0.7262481993303331,5,,2016-06-10 21:15:00,2016,unknown
abc,"CRISISLEX_C03_WELLBEING_HEALTH,2127",0.00010840004168334091,6394.344225298109,0.17671663016087158,5,,2020-11-16 10:45:00,2020,unknown
abc,"CRISISLEX_C03_WELLBEING_HEALTH,821",8.454901648719486e-05,8198.169645946431,0.20147543671781265,6,,2020-02-22 20:15:00,2020,unknown
abc,"CRISISLEX_C03_WELLBEING_HEALTH,933",0.00010969594800390336,6318.803868081624,0.29214188549761877,7,,2016-05-30 17:30:00,2016,unknown
