source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year
abc,"TAX_DISEASE_CORONAVIRUS,552",5.5562479101097764e-05,12475.094556143564,0.0344183565699967,7,,2020-01-18 11:30:00,2020
abc,"TAX_ECON_PRICE,1995",5.6527214766772836e-05,12262.185275177982,0.0698460460143917,6,,2020-06-06 09:30:00,2020
abc,"TAX_ECON_PRICE,545",7.817176464920576e-05,8866.976249934096,0.2515014607809002,5,,2016-06-01 19:00:00,2016
abc,"TAX_ETHNICITY_AMERICAN,128",0.00012173832254999026,5693.746767993402,0.7482822277626799,5,,2016-05-29 18:00:00,2016
abc,"TAX_ETHNICITY_ARAB,18",9.24212740858543e-06,74998.66101348586,0.045012427135557864,150,,2016-09-05 14:15:00,2016
abc,"TAX_ETHNICITY_ASIAN,20",0.000706372834668158,981.2766665716613,0.26661285947529456,15,,2020-03-09 05:30:00,2020
abc,"TAX_ETHNICITY_BLACK,922",8.703386259577834e-05,7964.1091396714255,0.15691055108135676,5,,2016-02-29 02:00:00,2016
abc,"TAX_ETHNICITY_CHINESE,22",2.9669549280957036e-05,23362.241670615185,0.044900448241768864,19,,2020-01-06 12:15:00,2020
abc,"TAX_ETHNICITY_FRENCH,20",3.4355462508597284e-05,20175.748773182393,0.06503574681232482,19,,2020-01-07 15:30:00,2020
abc,"TAX_ETHNICITY_GERMAN,13",7.359835326445997e-06,94179.71324294023,0.011154848563403097,40,,2016-02-10 14:45:00,2016
abc,"TAX_ETHNICITY_GERMAN,6",5.215570124893126e-35,1.3289959946117086e+34,0.0,30,,2016-04-22 05:45:00,2016
abc,"TAX_FNCACT_ACTIVISTS,972",0.00010009457953024888,6924.922246668453,0.18669060359580325,5,,2016-07-10 07:45:00,2016
abc,"TAX_FNCACT_ATTORNEY,653",7.54410033388392e-05,9187.936929294432,0.2718342557077471,5,,2016-06-15 04:00:00,2016
abc,"TAX_FNCACT_AUTHORITIES,19",9.015790705836047e-36,7.688146311019193e+34,0.0,36,,2016-02-25 23:30:00,2016
abc,"TAX_FNCACT_AUTHORITIES,200",1.203969492550936e-05,57571.822612492026,0.01026736671840689,10,,2016-11-16 21:45:00,2016
abc,"TAX_FNCACT_AUTHORITIES,508",5.115446160868565e-05,13550.082607892291,0.20591810594637738,7,,2016-02-16 23:45:00,2016
abc,"TAX_FNCACT_AUTHORITIES,543",4.3086844475199235e-05,16087.211514385102,0.11315122085659979,6,,2016-03-25 20:30:00,2016
abc,"TAX_FNCACT_AUTHORITIES,557",9.834162345606297e-05,7048.360157178301,0.18845380255254163,5,,2016-06-01 09:15:00,2016
abc,"TAX_FNCACT_AUTHORITIES,741",1.6416912229590088e-05,42221.53172693501,0.011613619923611207,7,,2016-11-25 17:15:00,2016
abc,"TAX_FNCACT_DIRECTOR,12",3.9352959842592186e-05,17613.597130494458,0.12505016293029847,8,,2016-05-01 19:30:00,2016
abc,"TAX_FNCACT_JUDGE,15",2.9938747807858664e-06,231521.7673793291,0.005063594720632558,62,,2016-04-21 23:30:00,2016
abc,"TAX_FNCACT_JUDGE,228",0.00012029091341926133,5762.257188488158,0.8295991052370929,7,,2016-03-25 20:30:00,2016
abc,"TAX_FNCACT_JUDGE,30",1.5555059256989777e-35,4.456088331829882e+34,0.0,25,,2016-05-10 21:00:00,2016
abc,"TAX_FNCACT_JUDGE,32",2.1130593078203763e-35,3.2803015892390054e+34,0.0,25,,2016-02-02 21:00:00,2016
abc,"TAX_FNCACT_LEADERS,1570",0.00012304846680351832,5633.123260826572,0.7931315458720221,5,,2016-07-08 09:00:00,2016
abc,"TAX_FNCACT_MAN,14",3.50496606001433e-36,1.9776145294745344e+35,0.0,35,,2016-03-03 15:30:00,2016
abc,"TAX_FNCACT_MAN,8",6.793049265522454e-35,1.0203770846738224e+34,0.0,30,,2016-01-01 18:45:00,2016
abc,"TAX_FNCACT_MINISTER,392",0.00012790110044390277,5419.39966235051,0.8071395891197926,5,,2016-07-02 21:15:00,2016
abc,"TAX_FNCACT_MINISTER,800",0.00011507996716927106,6023.178469806091,0.22890254097340956,5,,2016-07-02 21:15:00,2016
abc,"TAX_FNCACT_OFFICERS,518",0.00012240032016886976,5662.952348520363,0.5642068671778051,6,,2016-03-11 21:15:00,2016
abc,"TAX_FNCACT_OFFICIALS,1116",9.756869429869537e-05,7104.196541135978,0.4462256896390634,9,,2016-06-12 18:15:00,2016
abc,"TAX_FNCACT_OFFICIALS,14",1.231494002692554e-05,56285.063430633,0.022317304547012307,20,,2016-06-09 11:30:00,2016
